ice_source,region,year,mean,sd
Glaciers,region_7,2041,0.316,0.177
Glaciers,region_8,2041,0.015,0.007
Glaciers,region_9,2041,0.360,0.182
Glaciers,region_10,2041,0.013,0.008
Glaciers,region_11,2041,0.012,0.005
Glaciers,region_12,2041,0.006,0.002
Glaciers,region_13,2041,0.216,0.083
Glaciers,region_14,2041,0.136,0.057
Glaciers,region_15,2041,0.066,0.028
Glaciers,region_16,2041,0.011,0.006
Glaciers,region_17,2041,0.152,0.100
Glaciers,region_18,2041,0.004,0.002
Glaciers,region_19,2041,0.573,0.274
Glaciers,ALL,2041,3.589,0.633
Glaciers,region_1,2042,0.539,0.290
Glaciers,region_2,2042,0.094,0.037
Glaciers,region_3,2042,0.444,0.271
Glaciers,region_4,2042,0.242,0.168
Glaciers,region_5,2042,0.361,0.260
Glaciers,region_6,2042,0.106,0.072
Glaciers,region_7,2042,0.334,0.185
Glaciers,region_8,2042,0.016,0.007
Glaciers,region_9,2042,0.379,0.191
Glaciers,region_10,2042,0.013,0.008
Glaciers,region_11,2042,0.013,0.005
Glaciers,region_12,2042,0.006,0.002
Glaciers,region_13,2042,0.225,0.086
Glaciers,region_14,2042,0.142,0.058
Glaciers,region_15,2042,0.069,0.029
Glaciers,region_16,2042,0.011,0.006
Glaciers,region_17,2042,0.157,0.103
Glaciers,region_18,2042,0.004,0.002
Glaciers,region_19,2042,0.591,0.279
Glaciers,ALL,2042,3.745,0.657
Glaciers,region_1,2043,0.561,0.301
Glaciers,region_2,2043,0.097,0.038
Glaciers,region_3,2043,0.465,0.281
Glaciers,region_4,2043,0.250,0.174
Glaciers,region_5,2043,0.374,0.268
Glaciers,region_6,2043,0.111,0.075
Glaciers,region_7,2043,0.354,0.194
Glaciers,region_8,2043,0.017,0.007
Glaciers,region_9,2043,0.399,0.202
Glaciers,region_10,2043,0.014,0.008
Glaciers,region_11,2043,0.013,0.005
Glaciers,region_12,2043,0.006,0.002
Glaciers,region_13,2043,0.233,0.089
Glaciers,region_14,2043,0.147,0.060
Glaciers,region_15,2043,0.071,0.030
Glaciers,region_16,2043,0.011,0.006
Glaciers,region_17,2043,0.162,0.106
Glaciers,region_18,2043,0.004,0.002
Glaciers,region_19,2043,0.609,0.288
Glaciers,ALL,2043,3.898,0.681
Glaciers,region_1,2044,0.584,0.309
Glaciers,region_2,2044,0.099,0.038
Glaciers,region_3,2044,0.484,0.293
Glaciers,region_4,2044,0.260,0.180
Glaciers,region_5,2044,0.388,0.278
Glaciers,region_6,2044,0.115,0.078
Glaciers,region_7,2044,0.375,0.204
Glaciers,region_8,2044,0.017,0.007
Glaciers,region_9,2044,0.421,0.212
Glaciers,region_10,2044,0.014,0.008
Glaciers,region_11,2044,0.014,0.005
Glaciers,region_12,2044,0.006,0.002
Glaciers,region_13,2044,0.242,0.092
Glaciers,region_14,2044,0.151,0.062
Glaciers,region_15,2044,0.073,0.031
Glaciers,region_16,2044,0.012,0.006
Glaciers,region_17,2044,0.168,0.109
Glaciers,region_18,2044,0.004,0.002
Glaciers,region_19,2044,0.630,0.295
Glaciers,ALL,2044,4.059,0.705
Glaciers,region_1,2045,0.609,0.319
Glaciers,region_2,2045,0.103,0.039
Glaciers,region_3,2045,0.506,0.303
Glaciers,region_4,2045,0.269,0.187
Glaciers,region_5,2045,0.403,0.287
Glaciers,region_6,2045,0.121,0.080
Glaciers,region_7,2045,0.397,0.214
Glaciers,region_8,2045,0.018,0.007
Glaciers,region_9,2045,0.445,0.221
Glaciers,region_10,2045,0.014,0.009
Glaciers,region_11,2045,0.014,0.005
Glaciers,region_12,2045,0.007,0.002
Glaciers,region_13,2045,0.250,0.094
Glaciers,region_14,2045,0.157,0.063
Glaciers,region_15,2045,0.076,0.032
Glaciers,region_16,2045,0.012,0.006
Glaciers,region_17,2045,0.176,0.112
Glaciers,region_18,2045,0.004,0.002
Glaciers,region_19,2045,0.652,0.301
Glaciers,ALL,2045,4.233,0.728
Glaciers,region_1,2046,0.634,0.333
Glaciers,region_2,2046,0.106,0.040
Glaciers,region_3,2046,0.526,0.315
Glaciers,region_4,2046,0.278,0.192
Glaciers,region_5,2046,0.419,0.296
Glaciers,region_6,2046,0.126,0.083
Glaciers,region_7,2046,0.416,0.225
Glaciers,region_8,2046,0.019,0.008
Glaciers,region_9,2046,0.466,0.232
Glaciers,region_10,2046,0.015,0.009
Glaciers,region_11,2046,0.014,0.006
Glaciers,region_12,2046,0.007,0.002
Glaciers,region_13,2046,0.257,0.096
Glaciers,region_14,2046,0.162,0.065
Glaciers,region_15,2046,0.078,0.032
Glaciers,region_16,2046,0.012,0.006
Glaciers,region_17,2046,0.182,0.115
Glaciers,region_18,2046,0.004,0.002
Glaciers,region_19,2046,0.669,0.311
Glaciers,ALL,2046,4.390,0.756
Glaciers,region_1,2047,0.654,0.341
Glaciers,region_2,2047,0.108,0.040
Glaciers,region_3,2047,0.550,0.325
Glaciers,region_4,2047,0.288,0.196
Glaciers,region_5,2047,0.436,0.303
Glaciers,region_6,2047,0.131,0.087
Glaciers,region_7,2047,0.434,0.234
Glaciers,region_8,2047,0.019,0.008
Glaciers,region_9,2047,0.487,0.241
Glaciers,region_10,2047,0.015,0.009
Glaciers,region_11,2047,0.015,0.006
Glaciers,region_12,2047,0.007,0.002
Glaciers,region_13,2047,0.267,0.099
Glaciers,region_14,2047,0.168,0.067
Glaciers,region_15,2047,0.080,0.033
Glaciers,region_16,2047,0.012,0.006
Glaciers,region_17,2047,0.188,0.117
Glaciers,region_18,2047,0.004,0.002
Glaciers,region_19,2047,0.691,0.317
Glaciers,ALL,2047,4.554,0.777
Glaciers,region_1,2048,0.675,0.351
